Epm_nEng_100ms,VehV_v_100ms,ActMod_trqInr_100ms,RngMod_trqCrSmin_100ms,CoVeh_trqAcs_100ms,Clth_st_100ms,CoEng_st_100ms,Com_rTSC1VRVCURtdrTq_100ms,Com_rTSC1VRRDTrqReq_100ms,RoadSlope_100ms
900.0,67.31,1151.5,-168.0,9.999747,0,3,0,0,0.4
1142.0,70.7,2159.5,-168.0,9.999747,0,3,0,0,2.1
1518.0,65.81,364.9553,-224.0,9.999747,0,3,0,0,1.3
1157.5,59.35,2604.0,-168.0,9.999747,0,3,0,0,1.7
1143.0,70.88,2019.5,-168.0,9.999747,0,3,0,0,1.9
911.0,68.05,1655.5,-140.0,9.999747,0,3,0,0,0.6
902.0,67.5,1347.5,-140.0,9.999747,0,3,0,0,0.6
915.5,68.11,2456.433,-140.0,9.999747,0,3,0,0,1.0
1082.5,55.91,2271.5,-168.0,9.999747,0,3,0,0,2.3
909.5,67.83,1991.5,-168.0,9.999747,0,3,0,0,0.6
1135.0,69.51,2604.0,-168.0,9.999747,0,3,0,0,0.8
1148.5,59.97,1347.5,-168.0,9.999747,0,3,0,0,1.5
907.0,67.27,0.0,-140.0,9.999747,0,3,0,0,-4.8
1226.0,75.66,0.0,-196.0,9.999747,0,3,0,0,-1.9
897.5,67.43,787.5,-168.0,9.999747,0,3,0,0,-0.2
1089.5,47.53,1599.032,-140.0,9.999747,0,3,0,0,1.7
1136.5,48.01,2632.0,-112.0,9.999747,0,3,0,0,1.7
1188.0,73.5,0.0,-196.0,9.999747,0,3,0,0,-1.7
1007.0,62.84,2131.5,-112.0,9.999747,0,3,0,0,2.3
875.0,65.55,1235.5,-140.0,9.999747,0,3,0,0,0.4
726.0,70.67,0.0,-112.0,9.999747,0,3,0,0,-0.8
1196.0,62.96,957.0175,-196.0,9.999747,0,3,0,0,1.7
1152.0,71.36,1861.99,-168.0,9.999747,0,3,0,0,1.5
888.5,67.24,1157.16,-140.0,9.999747,0,3,0,0,0.8
1229.5,76.55,0.0,-196.0,9.999747,0,3,0,0,-3.1
1175.0,43.15,2181.077,-140.0,9.999747,0,3,0,0,4.0
892.5,66.58,270.3966,-168.0,9.999747,0,3,0,0,-1.3
1071.0,55.5,2355.5,-168.0,9.999747,0,3,0,0,2.3
